POA_CODE_2016,Equal Weighted Score,Disabled Score,Indigenous Score,Senior's Score,Youth Score,Number of people under Median income,Number of Households with more than 3 people,Number of households with 1 or less cars,Number of people aged 14 and old with a disability,Number of people aged 55+,Number Of Immigrants arrived since 2011,Number of 15-24 Year Olds,Number of people who travel to work ONLY by Taxi,Total Indigenous Population,Single Parent Families with Children under 15,Total Population
2138,0.24191595,0.16162039,0.24148925,0.14735944,0.41719472,0.25596814,0.72302165,0.51920614,0.06727264,0.19944645,0.42173168,0.17058294,0.09527244,0.00322768,0.10755472,0.18755504
2139,0.12176009,0.15789474,0.01406689,0.30122063,0.01385812,0.00000000,0.00000000,0.00000000,0.31578947,0.60244127,0.00000000,0.05543247,0.00000000,0.05576165,0.00000000,0.00050589
2140,0.22409463,0.15976217,0.21390845,0.12271972,0.39998819,0.25179378,0.74182362,0.44998474,0.06773056,0.16677549,0.43885693,0.15635062,0.07866395,0.00242472,0.12238876,0.15143055
2141,0.26625180,0.24018309,0.23579866,0.18704883,0.40197662,0.35084568,0.78098736,0.32052423,0.12952049,0.27800420,0.28591688,0.15554920,0.09609346,0.00321444,0.14829912,0.26861029
2142,0.26451688,0.24073863,0.24417457,0.17866188,0.39449243,0.34398296,0.71251712,0.38010336,0.13749429,0.21221194,0.30220853,0.14136628,0.14511182,0.00632653,0.16756134,0.24628544
2143,0.25588614,0.26206423,0.19217573,0.17207485,0.39722974,0.37111871,0.75847018,0.30738634,0.15300975,0.30851020,0.15618578,0.15194374,0.03563950,0.00665064,0.21812169,0.08354724
2144,0.28425902,0.28114128,0.26481298,0.18475392,0.40632789,0.40106648,0.74844946,0.30608471,0.16121608,0.21351308,0.42185409,0.16971093,0.15599475,0.00206983,0.15710502,0.35003092
2145,0.27225691,0.20078966,0.33495856,0.18422305,0.36905637,0.25413768,0.77548888,0.33457719,0.14744164,0.28147965,0.22471416,0.11202171,0.08696646,0.00906846,0.15332782,0.74205093
2146,0.22951613,0.18499857,0.18531993,0.18057060,0.36717542,0.25782995,0.78249714,0.30414747,0.11216719,0.30045984,0.17162897,0.12422712,0.06068136,0.01571160,0.17901517,0.16359071
2147,0.25021470,0.20792975,0.22964172,0.20526638,0.35802095,0.26990864,0.74582600,0.28677287,0.14595085,0.33470985,0.09600268,0.12957630,0.07582290,0.02145706,0.20334908,0.34042832
2148,0.27805971,0.22688716,0.30657209,0.20388111,0.37489849,0.30185030,0.74617990,0.31545094,0.15192402,0.28845890,0.17981323,0.13611280,0.11930332,0.01814192,0.22410999,0.59084522
2150,0.25106263,0.17486508,0.27663820,0.14438567,0.40836156,0.24277778,0.71436905,0.56388940,0.10695238,0.16428690,0.60494180,0.11241000,0.12448444,0.00480966,0.12389394,0.29507598
